school,course_id,keyword
california_institute_of_technology,california_institute_of_technology__10,Materials Science
california_institute_of_technology,california_institute_of_technology__11,Materials Science
california_institute_of_technology,california_institute_of_technology__12,Electrochemistry
california_institute_of_technology,california_institute_of_technology__12,Materials Science
california_institute_of_technology,california_institute_of_technology__13,Materials Science
california_institute_of_technology,california_institute_of_technology__14,Materials Science
california_institute_of_technology,california_institute_of_technology__15,Materials Science
california_institute_of_technology,california_institute_of_technology__16,Materials Science
california_institute_of_technology,california_institute_of_technology__17,Fracture Analysis
california_institute_of_technology,california_institute_of_technology__18,Materials Science
california_institute_of_technology,california_institute_of_technology__19,Catalyst
california_institute_of_technology,california_institute_of_technology__20,ESG
california_institute_of_technology,california_institute_of_technology__21,Sustainability
california_institute_of_technology,california_institute_of_technology__22,Hydrogen
california_institute_of_technology,california_institute_of_technology__23,Cryogenic
california_institute_of_technology,california_institute_of_technology__24,Heat Transfer
california_institute_of_technology,california_institute_of_technology__24,Combustion
california_institute_of_technology,california_institute_of_technology__25,Systems Engineering
california_institute_of_technology,california_institute_of_technology__26,Heat Transfer
california_institute_of_technology,california_institute_of_technology__27,Combustion
california_institute_of_technology,california_institute_of_technology__28,Heat Transfer
california_institute_of_technology,california_institute_of_technology__29,Materials Science
california_institute_of_technology,california_institute_of_technology__30,Fracture Analysis
california_institute_of_technology,california_institute_of_technology__31,Combustion
california_institute_of_technology,california_institute_of_technology__32,Explosion
california_institute_of_technology,california_institute_of_technology__33,Pipeline
california_institute_of_technology,california_institute_of_technology__34,Heat Transfer
california_institute_of_technology,california_institute_of_technology__35,Heat Transfer
california_institute_of_technology,california_institute_of_technology__36,Sustainability
california_institute_of_technology,california_institute_of_technology__37,Pipeline
california_institute_of_technology,california_institute_of_technology__38,Catalyst
california_institute_of_technology,california_institute_of_technology__39,Heat Transfer
california_institute_of_technology,california_institute_of_technology__40,Sustainability
california_institute_of_technology,california_institute_of_technology__41,Catalysis
california_institute_of_technology,california_institute_of_technology__42,Risk Assessment
california_institute_of_technology,california_institute_of_technology__42,Pipeline
california_institute_of_technology,california_institute_of_technology__43,Sustainability
california_institute_of_technology,california_institute_of_technology__44,Sustainability
california_institute_of_technology,california_institute_of_technology__45,Sustainability
california_institute_of_technology,california_institute_of_technology__46,Sustainability
california_institute_of_technology,california_institute_of_technology__47,Control Systems
california_institute_of_technology,california_institute_of_technology__48,Automation
california_institute_of_technology,california_institute_of_technology__48,Control Systems
california_institute_of_technology,california_institute_of_technology__49,Control Systems
california_institute_of_technology,california_institute_of_technology__50,Control Systems
california_institute_of_technology,california_institute_of_technology__51,Combustion
california_institute_of_technology,california_institute_of_technology__52,Heat Transfer
california_institute_of_technology,california_institute_of_technology__53,Heat Transfer
california_institute_of_technology,california_institute_of_technology__54,Systems Engineering
california_institute_of_technology,california_institute_of_technology__55,Pipeline
california_institute_of_technology,california_institute_of_technology__56,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__56,Chemical Synthesis
california_institute_of_technology,california_institute_of_technology__57,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__58,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__58,Process Simulation
california_institute_of_technology,california_institute_of_technology__59,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__60,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__60,Power Generation
california_institute_of_technology,california_institute_of_technology__61,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__62,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__63,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__64,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__64,Catalysis
california_institute_of_technology,california_institute_of_technology__65,Heat Transfer
california_institute_of_technology,california_institute_of_technology__66,Control Systems
california_institute_of_technology,california_institute_of_technology__67,Catalyst
california_institute_of_technology,california_institute_of_technology__68,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__69,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__70,Pipeline
california_institute_of_technology,california_institute_of_technology__71,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__72,Electrochemistry
california_institute_of_technology,california_institute_of_technology__73,Catalyst
california_institute_of_technology,california_institute_of_technology__73,Heat Transfer
california_institute_of_technology,california_institute_of_technology__74,Catalyst
california_institute_of_technology,california_institute_of_technology__75,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__76,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__77,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__78,Sustainability
california_institute_of_technology,california_institute_of_technology__79,Pipeline
california_institute_of_technology,california_institute_of_technology__80,Resource Management
california_institute_of_technology,california_institute_of_technology__81,Systems Engineering
california_institute_of_technology,california_institute_of_technology__82,Project Management
california_institute_of_technology,california_institute_of_technology__83,Pipeline
california_institute_of_technology,california_institute_of_technology__84,Pipeline
california_institute_of_technology,california_institute_of_technology__85,Cryogenic
california_institute_of_technology,california_institute_of_technology__86,Pipeline
california_institute_of_technology,california_institute_of_technology__87,Heat Transfer
california_institute_of_technology,california_institute_of_technology__88,Materials Science
california_institute_of_technology,california_institute_of_technology__89,Fracture Analysis
california_institute_of_technology,california_institute_of_technology__90,Sustainability
california_institute_of_technology,california_institute_of_technology__91,Catalyst
california_institute_of_technology,california_institute_of_technology__92,Sustainability
california_institute_of_technology,california_institute_of_technology__92,Electrochemistry
california_institute_of_technology,california_institute_of_technology__93,Electrochemistry
california_institute_of_technology,california_institute_of_technology__93,Materials Science
california_institute_of_technology,california_institute_of_technology__94,Catalysis
california_institute_of_technology,california_institute_of_technology__94,Electrochemical
california_institute_of_technology,california_institute_of_technology__95,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__95,Chemical Synthesis
california_institute_of_technology,california_institute_of_technology__96,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__97,Catalysis
california_institute_of_technology,california_institute_of_technology__98,Catalysis
california_institute_of_technology,california_institute_of_technology__99,Electrochemistry
california_institute_of_technology,california_institute_of_technology__99,Electrochemical
california_institute_of_technology,california_institute_of_technology__100,Catalysis
california_institute_of_technology,california_institute_of_technology__101,Pipeline
california_institute_of_technology,california_institute_of_technology__102,Chemical Engineering
california_institute_of_technology,california_institute_of_technology__103,Electrochemistry
california_institute_of_technology,california_institute_of_technology__104,Catalysis
california_institute_of_technology,california_institute_of_technology__105,Catalyst
california_institute_of_technology,california_institute_of_technology__106,Catalysis
california_institute_of_technology,california_institute_of_technology__107,Catalysis
california_institute_of_technology,california_institute_of_technology__108,Chemical Synthesis
california_institute_of_technology,california_institute_of_technology__109,Materials Science
california_institute_of_technology,california_institute_of_technology__110,Catalyst
california_institute_of_technology,california_institute_of_technology__111,Catalysis
california_institute_of_technology,california_institute_of_technology__112,Sustainability
california_institute_of_technology,california_institute_of_technology__113,Catalyst
california_institute_of_technology,california_institute_of_technology__114,Materials Science
california_state_university_long_beach,california_state_university_long_beach__0,Sustainability
california_state_university_long_beach,california_state_university_long_beach__1,Welding
