title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
ELET 4345 - The Principles and Applications of Fuel Cell Technology,"3 0 or consent of instructor. Fuel cell use in an emerging, efficient, alternative energy technology frontier. Modern energy relevant to the DOE. No Yes",4.0,Fuel Cell,use-3,"{""fuel cell"": 2}"
ELET 4350 - Overview of Computational Health Informatics,"3 0 TELS 3363, , or Completion of University approved WID. Overview of electronic medical records, health information exchange, clinical decisions, computational information retrieval, telemedicine, consumer health informatics, HIPPA, and evidence based medicine. No No",3.5,Ion Exchange,production-3,"{""ion exchange"": 1}"
ELET 4326 - Power Converter Circuits,"3 0 Minimum grade of C- and . Electric power converter circuits: rectifiers, inverters, dc-dc converters, power supplies, and power quality issues associated with the operation of converters. No Yes",1.5,Power Quality,technical_skills-1,"{""power quality"": 1}"
ELET 4319 - Electrical Power Systems and Industry Practices,"3 0 . History, regulatory and legal issues in electrical power. Relationships among institutions involved in electrical power: FERC, North American Reliability Council, state regulation boards, and EPRI. Basic electrical power generation plant principles. No Yes",3.5,Power Generation,use-3,"{""power generation"": 1}"
ELET 4310 - Alternative Energy Sources,"3 0 . Relative advantages and economic factors associated with alternative energy sources, utility interface issues and their impact on power quality. No Yes",1.5,Power Quality,technical_skills-1,"{""power quality"": 1}"
ELET 4308 - Senior Project,"3 0 Minimum grade of C- in , and TELS 3363, and credit for or concurrent enrollment in . Senior projects in computer engineering technology including proposals, project management, integrated hardware and software design. No Yes",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ELET 4305 - Senior Design in Electrical Power Engineering Technology,"3 0 , credit for or concurrent enrollment in , and EPET major. Senior projects; including proposals, project management, and integrated hardware and software design. No Yes",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
ELET 4304 - Control Systems,"3 0 Minimum grade of C- in . Modeling and analysis of single-input, single-output feedback control systems. Tuning of cascade compensator parameters, stability, analog and digital implementation, frequency-domain methods, and simulation using modern software packages. No Yes",2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
ELET 3312 - Programmable Logic Controllers & Motor Control Systems,3 0 Minimum grade of C- in . Programmable Logic Controllers and microprocessor-based controls for electrical motors and generators. No Yes,1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
GEOL 3338 - Environmental Hydrogeology,"3 0 Declared major in the Department of Earth and Atmospheric Sciences; , , and credit for or concurrent enrollment in or . Principles of groundwater and surface water flow and interaction with the environment: water quality and pollution. No Yes",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
GHL 4462 - Practical Project Management in the Hospitality Industry,"3 4 (formerly HRMA 4370). This course aims to present a hands-on approach to problem-solving through innovative solutions in the hospitality industry. Students will solve a real industry problem/challenge presented by a hospitality/travel firm. This course utilizes real-life exercises, access to firm information, interviews with executives, data collected from consumers/employees, and technology to help students solidify this decision making process, and present an innovative solution to industry executives, via analytical skills and creative use of technology and management tools. No No",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
GHL 4370 - Project Development and Management in the Hospitality Industry,"3 0 (formerly HRMA 3353). This course aims to provide students with the knowledge and tools to plan, execute, assess, and evaluate projects in the hospitality industry to ensure set objectives are successfully met. In the hospitality industry projects can be of various natures from construction of a new facility, additions to existing facilities, implementing new training programs, converting software or repositioning a product to increase asset value. No No",2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
GHL 3352 - Human Resource Management,"3 0 (formerly HRMA 1337). Application of human resource management in hospitality environments; selection, placement, training, compensation, motivation, and performance appraisals of organizing members; labor relations and government regulations specific to the hospitality industry. No Yes",2.0,Resource Management,technical_skills-1,"{""resource management"": 2}"
HIST 2355 - The Global History of Food,"3 0 . This course places our everyday experiences of food and eating within a broader human and natural history. We will consider how human societies have provided for one of their most basic needs using land and ocean resources, from early settlements to the contemporary era of “sustainable development.” Through a combination of online and classroom-based activities, students will learn and practice primary source analysis, find and utilize web-based historical research tools, and build historical arguments in writing. Students will also use historical methodologies to critically examine contemporary debates within the food industry as well as broader questions of social and environmental sustainability. No N",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
FINA 4372 - Upstream Economics,"3 0 , , and ; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. The energy industry’s upstream (E&P) segment, discussing geological processes that form and trap hydrocarbons, describing the techniques used to find, produce, and process energy discoveries. Ownership, operational decision making, finding and lifting costs, risk assessment and mitigation, reserve accounting, financing, and unconventional hydrocarbons. No Y",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
CNST 4397 - Selected Topics in Construction Management,3 0 consent of department. Special topics in Construction Management. Yes May be repeated for credit when topics vary. Yes,3.0,Construction Management,engineering_capabilities-2,"{""construction management"": 2}"
CNST 4341 - Project Controls,3 0 C or better in . Integrates skills and knowledge taught in the program including the crucial construction management activities that take place from the time a contract is awarded until the contract is closed out. No Yes,2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CNST 4331 - Construction Management II,"3 0 C or better in , , and . Capstone course to develop a formal construction proposal for a construction project. The American Institute of Constructors (AIC) Level 1 Associate Constructors (AC) exam is required. Students are responsible for the AIC exam fees. No Yes",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
"ANTH 4366 - Transnational Himalayas: People, Culture, and Everyday Sustainability","3 0 . This course exposes students to issues of culture, identity, history and political economy of the Himalayas including Northeast India, Indian Western Himalayas, Bhutan, Nepal, sections of Pakistan and Afghanistan, Tibet, Northern Bangladesh and Myanmar. Through reading and engagement with anthropological literature on The Himalayas the course will highlight why the Himalayas as a region was such a preoccupation as the discipline of Anthropology evolved to its present state. As the region continued to be a site of tremendous anthropological attention the course will be exploring several key theoretical, historical and methodological issues within the discipline of anthropology as we learn about places and people in the region. will be paid to the area as a site for negotiating identity (caste and indigeneity), development politics, social movements, music, animals and current political tensions in the region. At the conclusion of the class, students should have a stronger idea of the important role this area has played in the political, religious and social imagination of the world and an appreciation of concepts such as ritual theory, social movements, modernity and gender studies. No No",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
"ANTH 3313 - Brown Girls, Brown Stories: Black Female Protagonists in Novels & Films","3 0 Any 2000 level CCS or WGSS course. Course focuses on novels and films centered on the lives of adolescent girls and young women of African descent taking a cultural studies approach to literature and film, emphasizing issues of intersectional identity that are key to contemporary women of color feminist theory.",3.5,CCS,production-3,"{""ccs"": 1}"
"ARAB 3377 - Energy, Society and the Middle East","3 0 . Examination of energy, culture and sustainability in Middle East and North Africa (MENA). Surveys literature and theories on oil curse, energy security, youth bulge, gender gap, renewables and sustainability projects. No N",5.5,Energy Security;Sustainability,sustainability_and_policy-4,"{""sustainability"": 2, ""energy security"": 1}"
ARCH 4510 - Integrated Architectural Solutions,"2 9 , , , and , and successful Sixth Studio Review. Integrating an architectural idea, building systems, and material selections, from concept through detailed development. No Yes Lab Fee",1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
