title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
SCM 4302 - Energy Supply Chain,"3 0 SCM 4390 ; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. Overview of the physical supply chain that brings energy (oil, natural gas, electricity, nuclear, and alternative forms) from sources to customers, including operations and information management requirements.",4.5,Energy Supply,clean_energy_markets-4,"{""energy supply"": 1}"
SCLT 4385 - Sustainable Supply Chain and Logistics,"3 0 C or better in both and . Environmental impact of logistics and supply chain operations, future trends and strategies and the management of change. Performance measures and monitoring. No No",4.5,Sustainable Supply Chain,sustainability_and_policy-4,"{""sustainable supply chain"": 1}"
SCLT 3384 - Logistics Tech and Processes,"3 0 C or better in . Capacity allocation, facility and flow design, retrieval mechanisms, and inventory control systems; impacts on service and cost performance. No Yes",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
SCLT 3341 - Geographic Information Systems & Geospatial Technology,"2 3 C or better in . Concepts and components of a geographic information system (GIS), essential skills of operating a functional GIS. SCLT industry examples. No No",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
THEA 3387 - Lighting Design,"3 0 , , , and consent of the instructor. Examination of the principles, theories, equipment, and technology utilized in lighting for the stage; Color, light sources, control systems, and script analysis. No Y",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
THEA 2390 - Technical Drawing,3 0 and consent of instructor. Techniques of drafting for scenic and lighting design. No Y,2.5,Technical Drawing,engineering_capabilities-2,"{""technical drawing"": 1}"
CHEM 3333 - Inorganic Chemistry I,"3 0 and with grades of at least C-. Chemical properties of atoms and elements. Categories of compounds of Main Group and d-block elements including hydrides, oxides, hydroxides, halides, and others. Syntheses, reactions, and aspects of systematic chemistry. Introduction to the biochemistry of inorganic compounds. No May not apply toward degree until is successfully completed. Y",3.5,Hydride,delivery_and_storage-3,"{""hydride"": 1}"
CHEM 3119 - Anlytical Chemistry Lab,"0 4 Credit for or concurrent enrollment in . Laboratory methods in analytical chemistry, including quantitative separation techniques, electrochemistry, and absorption spectroscopy. No For science majors only. May not apply toward degree until is successfully completed. Y",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 1322 - Honors Fundamentals of Chemistry 2,"3 0 (formerly MATH 1330) or equivalent and . Credit may not be applied toward a degree for both CHEM 1322 and or . Intensive systematic study of the general principles, fundamental laws, equilibrium, kinetics, electrochemistry, and elementary inorganic, nuclear, and organic chemistry. No Course is strongly recommended for science and engineering majors. does not satisfy the prerequisite for CHEM 1322. (30) Core-Life & Physical Sciences No",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 1312 - Fundamentals of Chemistry 2,"3 0 or equivalent and . General principles, fundamental laws, equilibrium, kinetics, electrochemistry, and elementary inorganic, nuclear, and organic chemistry. No For science and engineering majors. May not be applied toward a degree until is successfully completed. Credit may not be applied to a degree for both CHEM 1312 and . (30) Core-Life & Physical Sciences TCCNS Equivalent: CHEM 1312 Y",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CIS 4375 - Information Systems Capstone,"3 0 CIS major and grade of C- or better in all of the following courses: , , , and . Computer Information Systems capstone course. Information systems project management concepts through practice. Students plan, manage and complete a semester-long group project to develop a multi-user information system application for a client. No Yes",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CIS 4374 - Information Systems Project Management,"3 0 C- or better in . Focused on information systems project management topics including effectively manage resources, timelines, budgets, risks, and stakeholders to ensure the successful delivery of information system projects within organizations. No No",3.0,Project Management,engineering_capabilities-2,"{""project management"": 2}"
CIS 3367 - Cloud Computing Architecture and Implementation,"3 0 CIS Major and Grade of C- or better in CIS 3347. Architecting and building flexible, scalable, and reliable web-based systems capable of supporting millions of simultaneous requests. Provisional computing power, storage options, networking, and databases. Industry best practices and design patterns for high availability, event-driven scaling, web-scale storage, and full automation and decoupling of the infrastructure. No No",1.5,Automation,technical_skills-1,"{""automation"": 1}"
CEA 4342 - Robotics and Automation,"3 0 , ; all prerequisites must be completed with C- or higher. Coordinate transformations, forward and inverse kinematics, computer vision, motion planning, manipulability, visual servo control, industry applications. No No",1.5,Automation,technical_skills-1,"{""automation"": 1}"
CEA 3421 - Introduction to Control Systems,"3 3 ; all prerequisites must be completed with C- or higher. Feedback and control principles, state space modeling and design, stability, reachability, and robustness analysis. No No",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
CEA 3302 - Fundamentals of Software Engineering,"3 0 ; all prerequisites must be completed with C- or higher. Software engineering concepts, software processes, process models, agile development, requirements analysis, software quality, software project management. No No",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CCS 4398 - Independent Study in Comparative Cultural Studies,3 0 and consent of instructor. Course can be repeated for credit when topics vary. N,3.5,CCS,production-3,"{""ccs"": 1}"
CCS 4394 - Selected Topics in Comparative Cultural Studies,3 0 approval of department chair. May be repeated for credit when topic varies.,3.5,CCS,production-3,"{""ccs"": 1}"
CCS 3350 - Brazilian Cultures and Their Histories,"3 0 . Peoples and cultures that created Brazil. Brazilian politics, economics, and visual cultures may also be the focus. Course can be repeated for credit when topics vary. Y",3.5,CCS,production-3,"{""ccs"": 1}"
CCS 2394 - Selected Topics in Comparative Cultural Studies,3 0 . Can be repeated for credit if topic is different. N,3.5,CCS,production-3,"{""ccs"": 1}"
CCS 2350 - Perspectives Cultural Studies,"3 0 . CCS gateway course examines culture across disciplinary perspectives. Team lecturers present the what/how/why of what they do in studying the cultural dimension of life, historically, regionally, thematically, globally. No Y",4.0,CCS,production-3,"{""ccs"": 2}"
CHEE 5390 - Energy and the Environment,"3 0 Credit for or concurrent enrollment in and 4367; all prerequisites must be completed with C- or higher. This course surveys modern energy technologies and their impact on the environment. Topics include energy generation from fossil, nuclear, and renewable sources. Energy utilization covers stationary and transportation applications. Optimization of source-to-consumer efficiencies and minimization of emissions are in-cluded, with special emphasis on emerging technologies such as fuel cells. Capstone topics for the course are future developments in the hydrogen economy and the technical-economic-social aspects of global warming. No Yes",9.0,Hydrogen;Fuel Cell,hydrogen_phrases-5;use-3,"{""hydrogen"": 1, ""fuel cell"": 1}"
CHEE 5388 - Catalytic Processes,"3 0 Credit for or concurrent enrollment in and ; all prerequisites must be completed with C- or higher. Process-oriented survey of catalytic technology; catalyst selection and design; catalytic processes, engineering and economics in the petroleum, chemical, and pollution control industries. No Yes",3.5,Catalyst,production-3,"{""catalyst"": 1}"
CHEE 5383 - Advanced Unit Operations,"3 0 Senior standing in chemical engineering or consent of instructor. Property prediction of multicomponent fluids. Advanced principles of heat exchanger design, multicomponent fractionation, absorption, stripping and extraction.",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEE 5379 - Safety and Reliability,"3 0 , , and ; all prerequisites must be completed with C- or higher. Risks, safeguards, and hazards associated with chemical process engineering. Layers of protection, hazard identification, source term models, toxic release and dispersion models, fires and explosions, probabilistic analysis, fault tree analysis, designs to prevent accidents, safety-instrumented systems, and safety-related standards and regulations. No Yes",4.5,Hazard Identification;Process Engineering;Explosion,engineering_capabilities-2;technical_skills-1,"{""process engineering"": 1, ""hazard identification"": 1, ""explosion"": 1}"
CHEE 5370 - Sustainability and Environmental Mitigation,"3 0 , or (or equivalent) and approval by the instructor; all prerequisites must be completed with C- or higher. This course addresses sustainability and environmental mitigation in the context of chemical process understanding. This includes analysis of the impact of various energy-related factors on the environment (e.g. carbon footprints, pollutant release, renewable resources and energy conservation), and methodologies to mitigate these impacts. No No",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
CHEE 5365 - Fundamentals of Catalysis,"3 0 None. Credit for or concurrent enrollment in , or consent of instructor. Theories and experimental procedures in modern heterogeneous catalysis, catalyst preparation and properties, absorption, surface mechanisms, catalyst design, and catalytic processes. N",5.0,Catalyst;Catalysis,production-3,"{""catalysis"": 2, ""catalyst"": 2}"
CHEE 5367 - Advanced Process Control,"3 0 or consent of instructor; all prerequisites must be completed with C- or higher. Application of high-speed computers in the control of chemical processes, reactors, and units. No Yes",1.5,Process Control,technical_skills-1,"{""process control"": 1}"
CHEE 5355 - Advanced Biomolecular Engineering,"3 0 or equivalent or consent of program director; all prerequisites must be completed with C- or higher. The objective of this course is to introduce fundamental concepts in biochemical engineering. The course assumes that the students have a basic understanding of biomolecules. The course presents a basic understanding of enzyme mechanisms and kinetics. From there we will transition into cellular energetics and the thermodynamics of cellular energetics. Next, we will understand the underlying concepts of commonly used techniques in molecular and cell biology. The second half of the semester will focus on biopharmaceuticals including antibodies, proteins, and cells as drugs in the context of immunotherapy. We will learn the basics of immunology before transitioning into the use of the immunology in cancer immunotherapy. Finally, the course also introduces students to the use of statistics in study design and the use of the appropriate statistical tests for testing hypotheses and selecting appropriate graphs to represent data. The use of appropriate statistics to report the error and a discussion on significant figures will be presented. No No",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEE 5320 - Intro Nanomaterials Engineering,"3 0 or , concurrent enrollment in , or consent of instructor; all prerequisites must be completed with C- or higher. Engineering of nanomaterials with emphasis on structural, optical, photonic, magnetic, and electronic materials. Synthetic methods and analytical characterization with design for applications will be emphasized. No Yes",2.5,Materials Engineering,engineering_capabilities-2,"{""materials engineering"": 1}"
CHEE 5120 - Nanomaterials Engineering Laboratory,"0 2 or or MECE 5119 [Inactive], concurrent enrollment in , and instructor permission; all prerequisites must be completed with C- or higher. Introduction to engineering of nanomaterials with emphasis on structural, optical, photonic, magnetic and electronic materials. Experimental design, synthetic and analytical characterization will be emphasized. No Yes",2.5,Materials Engineering,engineering_capabilities-2,"{""materials engineering"": 1}"
CHEE 4399 - Senior Honors Thesis,senior standing; 3.00 cumulative grade point average in chemical engineering and overall.,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEE 4322 - Chemical Engineering Design II,"3 0 ; all prerequisites must be completed with C- or higher. Computer-aided design of chemical processes with emphasis on process economics, profitability analysis, and optimum operating conditions. No Yes",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEE 4361 - Chemical Engineering Practices,"1.5 5 , , ; and credit for or concurrent enrollment in ; all prerequisites must be completed with C- or higher. Design and execution of experiments involving chemical reaction, heat and mass transfer, chemical separations, and process control. Course includes teamwork and further development of oral and written communication skills. No Due to the limited number of spaces in these classes, students who do not come to the first class meeting may be dropped to provide room for other students. Additional hour or hours to be arranged at first class meeting. This class has a laboratory or additional lecture hours. Select a laboratory section from those listed below the class. Course or section requires additional fee. Yes",4.0,Chemical Engineering;Process Control,engineering_capabilities-2;technical_skills-1,"{""chemical engineering"": 1, ""process control"": 1}"
CHEE 4321 - Chemical Engineering Design I,"3 0 , , , , , , and credit for or concurrent enrollment in ; all prerequisites must be completed with C- or higher. Design of chemical processes with emphasis on health and safety, and environment aspects; mass and energy balances; equipment design; process economics; profitability analysis; and optimum operating conditions. No Yes Engineering Equipment Access Fee",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEE 3399 - Senior Honors Thesis,senior standing; 3.00 cumulative grade point average in chemical engineering and overall.,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEE 3367 - Process Modeling and Control,"3 0 , and ; all prerequisites must be completed with C- or higher. Modeling techniques of chemical engineering problems with emphasis on process control. No Yes",4.0,Chemical Engineering;Process Control,engineering_capabilities-2;technical_skills-1,"{""chemical engineering"": 1, ""process control"": 1}"
CHEE 3334 - Statistics/Numerical Techniques for Chemical Engineers,"3 0 and ; all prerequisites must be completed with C- or higher. Statistics for chemical engineers. Curve fitting, numerical methods in linear algebra, non-linear algebraic equations, ordinary and partial differential equations, optimization. Special emphasis is placed on problems appearing in chemical engineering applications. No Yes",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEE 3321 - Analytical Methods for Chemical Engineers,"3 0 or MATH 1451 and ; all prerequisites must be completed with C- or higher. Mathematical modeling and conservation equations, linear algebra, ordinary and partial differential equations with applications to chemical engineering systems. No Credit may not be received for more than one of or CHEE 3321. Yes",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHEE 3300 - Materials Science & Engineering I,"3 0 , , ; all prerequisites must be completed with C- or higher. Properties of materials with emphasis on metals, ceramics, polymers and electronic materials. No Yes Engineering Equipment Access Fee",2.5,Materials Science,engineering_capabilities-2,"{""materials science"": 1}"
CHEE 2331 - Chemical Processes,"3 0 , , , or MATH 1451, and ; all prerequisites must be completed with C- or higher. Introduction to chemical engineering, chemical engineering calculations, unit equations, process stoichiometry, material and energy balances, states of matter, and case studies. No Yes Engineering Equipment Access Fee",3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
AAS 2396 - The History of Black Education,"3 0 . This course is designed to study the impact of African Americans on the making of America and relevant contributions to black education, including essays, monographs, anthologies, journals and other writings of individuals such as Booker T. Washington, W.E.B . Du Bois and Carter G. Woodson. Additional focus on pivotal events that reshaped American society and African American education such as Brown vs. The Board of Education, Jim Crow Laws, No Child Left Behind and the School to Prison Pipeline. No N",3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
